Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,2.1330096504366467,13.463898825882996,45.45454545454545,0.23895308141212418,-1.0733990783981187,0.09504440876105413,0.04752220438052707,5,5
Feb,0.3876263622802526,13.027665483555042,45.45454545454545,-0.32466031028076475,-1.05087807198863,-0.052840199503060015,-0.026420099751530007,5,5
Mar,0.5175450622438511,18.297919244348513,54.54545454545454,-1.754647060261841,2.7374879671608827,-0.07928796867625532,-0.03964398433812766,6,4
Apr,3.3095403467181934,15.824623533828442,63.63636363636363,0.35628383453741,0.6804589603372824,0.20014669720402334,0.10007334860201167,7,3
May,2.3730234440616726,8.79374721829808,63.63636363636363,-1.0230123153927437,1.4166834052538562,0.2563819820674096,0.1281909910337048,7,3
Jun,2.872029987052724,12.433198477167899,63.63636363636363,-0.6162995636270743,0.6534329440517075,0.2138007203769281,0.10690036018846405,7,3
Jul,9.247310782004371,8.057340881477673,90.9090909090909,1.2914155701781327,1.1101062790504015,,,10,0
Aug,0.028489447271267728,11.371440490701195,54.54545454545454,0.18370238461130753,-0.2914661535628773,-0.13166793312715497,-0.06583396656357748,6,4
Sep,-5.891619354144896,10.198327979894502,27.27272727272727,-0.68218783396617,-0.49302842359101673,-2.0252889151928377,-1.0126444575964189,3,6
Oct,4.321445818637257,14.954705477928577,54.54545454545454,0.08067208486461877,-0.9554735052865917,0.22252609604511198,0.11126304802255599,6,4
Nov,10.824653912071053,11.65792939156883,81.81818181818183,0.9685938032232418,-0.013218298728746802,0.7817333102870112,0.3908666551435056,9,1
Dec,0.3143348129720474,12.731993942672634,54.54545454545454,-0.9503727383663975,-0.1756394152359535,-0.09349643858403067,-0.046748219292015336,6,4
